,delta,t1,tm,dir,sptree
0,0.01,2000.0,1.0,P3 into P2,AB
1,0.01,2000.0,223.11111111111111,P3 into P2,AB
2,0.01,2000.0,445.22222222222223,P3 into P2,AB
3,0.01,2000.0,667.3333333333334,P3 into P2,AB
4,0.01,2000.0,889.4444444444445,P3 into P2,AB
5,0.01,2000.0,1111.5555555555557,P3 into P2,AB
6,0.01,2000.0,1333.6666666666667,P3 into P2,AB
7,0.01,2000.0,1555.7777777777778,P3 into P2,AB
8,0.01,2000.0,1777.888888888889,P3 into P2,AB
9,0.01,2000.0,2000.0,P3 into P2,AB
10,0.01,4333.333333333334,1.0,P3 into P2,AB
11,0.01,4333.333333333334,482.37037037037044,P3 into P2,AB
12,0.01,4333.333333333334,963.7407407407409,P3 into P2,AB
13,0.01,4333.333333333334,1445.1111111111113,P3 into P2,AB
14,0.01,4333.333333333334,1926.4814814814818,P3 into P2,AB
15,0.01,4333.333333333334,2407.851851851852,P3 into P2,AB
16,0.01,4333.333333333334,2889.2222222222226,P3 into P2,AB
17,0.01,4333.333333333334,3370.592592592593,P3 into P2,AB
18,0.01,4333.333333333334,3851.9629629629635,P3 into P2,AB
19,0.01,4333.333333333334,4333.333333333334,P3 into P2,AB
20,0.01,6666.666666666667,1.0,P3 into P2,AB
21,0.01,6666.666666666667,741.6296296296297,P3 into P2,AB
22,0.01,6666.666666666667,1482.2592592592594,P3 into P2,AB
23,0.01,6666.666666666667,2222.888888888889,P3 into P2,AB
24,0.01,6666.666666666667,2963.5185185185187,P3 into P2,AB
25,0.01,6666.666666666667,3704.1481481481483,P3 into P2,AB
26,0.01,6666.666666666667,4444.777777777778,P3 into P2,AB
27,0.01,6666.666666666667,5185.407407407408,P3 into P2,AB
28,0.01,6666.666666666667,5926.037037037037,P3 into P2,AB
29,0.01,6666.666666666667,6666.666666666667,P3 into P2,AB
30,0.01,9000.0,1.0,P3 into P2,AB
31,0.01,9000.0,1000.8888888888889,P3 into P2,AB
32,0.01,9000.0,2000.7777777777778,P3 into P2,AB
33,0.01,9000.0,3000.666666666667,P3 into P2,AB
34,0.01,9000.0,4000.5555555555557,P3 into P2,AB
35,0.01,9000.0,5000.444444444444,P3 into P2,AB
36,0.01,9000.0,6000.333333333334,P3 into P2,AB
37,0.01,9000.0,7000.222222222223,P3 into P2,AB
38,0.01,9000.0,8000.111111111111,P3 into P2,AB
39,0.01,9000.0,9000.0,P3 into P2,AB
40,0.01,11333.333333333334,1.0,P3 into P2,AB
41,0.01,11333.333333333334,1260.1481481481483,P3 into P2,AB
42,0.01,11333.333333333334,2519.2962962962965,P3 into P2,AB
43,0.01,11333.333333333334,3778.444444444445,P3 into P2,AB
44,0.01,11333.333333333334,5037.592592592593,P3 into P2,AB
45,0.01,11333.333333333334,6296.740740740741,P3 into P2,AB
46,0.01,11333.333333333334,7555.88888888889,P3 into P2,AB
47,0.01,11333.333333333334,8815.037037037038,P3 into P2,AB
48,0.01,11333.333333333334,10074.185185185186,P3 into P2,AB
49,0.01,11333.333333333334,11333.333333333334,P3 into P2,AB
50,0.01,13666.666666666668,1.0,P3 into P2,AB
51,0.01,13666.666666666668,1519.4074074074076,P3 into P2,AB
52,0.01,13666.666666666668,3037.8148148148152,P3 into P2,AB
53,0.01,13666.666666666668,4556.222222222223,P3 into P2,AB
54,0.01,13666.666666666668,6074.6296296296305,P3 into P2,AB
55,0.01,13666.666666666668,7593.037037037038,P3 into P2,AB
56,0.01,13666.666666666668,9111.444444444445,P3 into P2,AB
57,0.01,13666.666666666668,10629.851851851854,P3 into P2,AB
58,0.01,13666.666666666668,12148.259259259261,P3 into P2,AB
59,0.01,13666.666666666668,13666.666666666668,P3 into P2,AB
60,0.01,16000.0,1.0,P3 into P2,AB
61,0.01,16000.0,1778.6666666666667,P3 into P2,AB
62,0.01,16000.0,3556.3333333333335,P3 into P2,AB
63,0.01,16000.0,5334.0,P3 into P2,AB
64,0.01,16000.0,7111.666666666667,P3 into P2,AB
65,0.01,16000.0,8889.333333333334,P3 into P2,AB
66,0.01,16000.0,10667.0,P3 into P2,AB
67,0.01,16000.0,12444.666666666668,P3 into P2,AB
68,0.01,16000.0,14222.333333333334,P3 into P2,AB
69,0.01,16000.0,16000.0,P3 into P2,AB
70,0.01,18333.333333333336,1.0,P3 into P2,AB
71,0.01,18333.333333333336,2037.925925925926,P3 into P2,AB
72,0.01,18333.333333333336,4074.851851851852,P3 into P2,AB
73,0.01,18333.333333333336,6111.777777777778,P3 into P2,AB
74,0.01,18333.333333333336,8148.703703703704,P3 into P2,AB
75,0.01,18333.333333333336,10185.629629629631,P3 into P2,AB
76,0.01,18333.333333333336,12222.555555555557,P3 into P2,AB
77,0.01,18333.333333333336,14259.481481481482,P3 into P2,AB
78,0.01,18333.333333333336,16296.407407407409,P3 into P2,AB
79,0.01,18333.333333333336,18333.333333333336,P3 into P2,AB
80,0.01,20666.666666666668,1.0,P3 into P2,AB
81,0.01,20666.666666666668,2297.185185185185,P3 into P2,AB
82,0.01,20666.666666666668,4593.37037037037,P3 into P2,AB
